Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
14;387276;384232;false;4999;2000000;364291
30;387276;382768;false;4999;2000000;385229
23;387276;382552;false;4999;2000000;423179
18;387276;382494;false;4999;2000000;373382
20;387276;382419;false;4999;2000000;352471
17;387276;382253;false;4999;2000000;376199
10;387276;382114;false;4999;2000000;397432
22;387276;382086;false;4999;2000000;387277
12;387276;382031;false;4999;2000000;388225
21;387276;381953;false;4999;2000000;431479
1;387276;381831;false;4999;2000000;393270
5;387276;381697;false;4999;2000000;400397
3;387276;381229;false;4999;2000000;418540
6;387276;381215;false;4999;2000000;399517
28;387276;380856;false;4999;2000000;403284
9;387276;380691;false;4999;2000000;358973
7;387276;380437;false;4999;2000000;449685
25;387276;380213;false;4999;2000000;439000
13;387276;380118;false;4999;2000000;400948
4;387276;380097;false;4999;2000000;434530
2;387276;380002;false;4999;2000000;426297
16;387276;379829;false;4999;2000000;383090
26;387276;379795;false;4999;2000000;427200
11;387276;379711;false;4999;2000000;423029
19;387276;379507;false;4999;2000000;395061
15;387276;379422;false;4999;2000000;401691
8;387276;379222;false;4999;2000000;410642
29;387276;379113;false;4999;2000000;340850
27;387276;378160;false;4999;2000000;414139
24;387276;377799;false;4999;2000000;448133
mean;387276;380861,5333;#¡DIV/0!;4999;2000000;401581,3333
