Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;13099;13075;false;4999;2000000;74208
12;13099;13075;false;4999;2000000;74996
24;13099;13075;false;4999;2000000;78484
1;13099;13059;false;4999;2000000;69343
2;13099;13059;false;4999;2000000;70554
4;13099;13059;false;4999;2000000;69053
5;13099;13059;false;4999;2000000;70301
6;13099;13059;false;4999;2000000;69811
7;13099;13059;false;4999;2000000;70627
8;13099;13059;false;4999;2000000;68112
9;13099;13059;false;4999;2000000;72991
10;13099;13059;false;4999;2000000;69575
13;13099;13059;false;4999;2000000;74266
14;13099;13059;false;4999;2000000;74846
15;13099;13059;false;4999;2000000;74008
16;13099;13059;false;4999;2000000;78815
17;13099;13059;false;4999;2000000;79911
18;13099;13059;false;4999;2000000;78886
19;13099;13059;false;4999;2000000;75326
20;13099;13059;false;4999;2000000;80839
21;13099;13059;false;4999;2000000;77542
22;13099;13059;false;4999;2000000;73388
23;13099;13059;false;4999;2000000;72673
25;13099;13059;false;4999;2000000;82843
27;13099;13059;false;4999;2000000;106512
28;13099;13059;false;4999;2000000;107921
29;13099;13059;false;4999;2000000;110965
30;13099;13040;false;4999;2000000;96892
11;13099;13014;false;4999;2000000;80727
26;13099;13014;false;4999;2000000;110709
