Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
7;16869;16807;false;4999;2000000;120455
23;16869;16807;false;4999;2000000;87086
30;16869;16807;false;4999;2000000;75785
14;16869;16776;false;4999;2000000;115203
18;16869;16776;false;4999;2000000;114796
25;16869;16776;false;4999;2000000;84432
28;16869;16776;false;4999;2000000;79162
1;16869;16771;false;4999;2000000;113977
3;16869;16771;false;4999;2000000;111759
9;16869;16715;false;4999;2000000;127703
19;16869;16715;false;4999;2000000;115913
26;16869;16714;false;4999;2000000;86230
15;16869;16702;false;4999;2000000;106284
29;16869;16695;false;4999;2000000;92185
2;16869;16694;false;4999;2000000;139533
16;16869;16694;false;4999;2000000;106413
5;16869;16688;false;4999;2000000;109980
13;16869;16676;false;4999;2000000;105802
8;16869;16674;false;4999;2000000;127343
21;16869;16674;false;4999;2000000;106457
22;16869;16674;false;4999;2000000;84929
17;16869;16672;false;4999;2000000;104458
27;16869;16668;false;4999;2000000;77940
6;16869;16664;false;4999;2000000;125156
4;16869;16644;false;4999;2000000;112480
10;16869;16635;false;4999;2000000;115639
12;16869;16634;false;4999;2000000;108413
24;16869;16625;false;4999;2000000;84420
11;16869;16608;false;4999;2000000;111509
20;16869;16600;false;4999;2000000;109022
mean;16869;16704,4;#¡DIV/0!;4999;2000000;105348,8
