Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;16679;16679;true;600;240400;12047
29;16679;16679;true;557;223200;11849
28;16679;16669;false;4999;2000000;115490
3;16679;16653;false;4999;2000000;100923
8;16679;16653;false;4999;2000000;107293
10;16679;16653;false;4999;2000000;104749
13;16679;16653;false;4999;2000000;102330
14;16679;16653;false;4999;2000000;102567
17;16679;16653;false;4999;2000000;99895
22;16679;16653;false;4999;2000000;107547
18;16679;16632;false;4999;2000000;93713
23;16679;16632;false;4999;2000000;100627
4;16679;16625;false;4999;2000000;96153
5;16679;16615;false;4999;2000000;114138
24;16679;16615;false;4999;2000000;115984
27;16679;16615;false;4999;2000000;106626
20;16679;16604;false;4999;2000000;98711
2;16679;16598;false;4999;2000000;91554
15;16679;16577;false;4999;2000000;91949
12;16679;16544;false;4999;2000000;101777
16;16679;16544;false;4999;2000000;104480
9;16679;16542;false;4999;2000000;108814
19;16679;16532;false;4999;2000000;100362
21;16679;16532;false;4999;2000000;100493
30;16679;16529;false;4999;2000000;102136
25;16679;16495;false;4999;2000000;98979
7;16679;16469;false;4999;2000000;113378
11;16679;16469;false;4999;2000000;112265
6;16679;16432;false;4999;2000000;98211
26;16679;16429;false;4999;2000000;81099
mean;16679;16587,6;#¡DIV/0!;4704,3;1882120;96537,96667
