W;L;opt;n
731;358;261395;40
wi;li;bi;
43;30;5;146
70;33;1;206
119;126;2;490
197;100;7;594
227;76;9;606
193;116;3;618
167;138;8;610
201;26;8;454
179;59;2;476
124;26;3;300
289;51;1;680
254;124;4;756
187;77;2;528
156;41;8;394
171;100;8;542
131;56;3;374
73;32;6;210
159;59;4;436
264;140;4;808
155;54;7;418
127;21;3;296
251;116;4;734
157;43;9;400
87;53;4;280
239;101;2;680
189;21;9;420
272;87;5;718
43;88;3;262
57;54;3;222
45;130;3;350
231;94;8;650
151;54;9;410
176;30;3;412
105;102;9;414
41;75;4;232
195;100;9;590
247;60;3;614
266;46;5;624
251;118;3;738
287;19;9;612
;;5,05;482,6
;;0,530490691;0,367487064
