W;L;opt;n
130;130;16881;35
wi;li;bi;
28;39;4;134
23;29;2;104
37;41;1;156
25;31;3;112
45;27;2;144
49;31;4;160
41;23;2;128
24;41;2;130
31;31;1;124
37;22;1;118
19;54;1;146
47;35;2;164
38;31;3;138
21;27;1;96
29;53;1;164
33;41;4;148
37;42;5;158
29;29;2;116
57;27;3;168
49;31;3;160
31;43;1;148
30;41;2;142
29;39;1;136
28;38;2;132
37;37;3;148
26;36;2;124
45;35;1;160
24;34;1;116
33;23;2;112
42;32;3;148
25;32;2;114
41;18;2;118
19;21;3;80
21;34;1;110
39;19;2;116
;;2,142857143;133,4857143
;;0,495205774;0,162972302
