W;L;opt;n
285;354;99366;45
wi;li;bi;
111;157;2;536
94;159;1;506
122;135;1;514
81;86;5;334
113;196;2;618
162;141;1;606
119;160;2;558
125;152;2;554
87;137;1;448
75;214;1;578
131;125;2;512
103;120;4;446
174;146;1;640
88;201;1;578
73;220;2;586
114;109;6;446
76;80;7;312
57;100;1;314
174;128;1;604
61;190;1;502
159;96;2;510
167;84;1;502
78;165;5;486
73;99;2;344
112;130;4;484
167;87;1;508
123;210;2;666
120;209;1;658
125;141;1;532
66;182;4;496
92;78;8;340
79;165;1;488
110;94;6;408
86;99;3;370
130;102;4;464
150;193;1;686
178;109;3;574
138;187;1;650
139;197;2;672
99;79;6;356
94;112;5;412
128;133;2;522
85;115;2;400
154;210;1;728
120;206;1;652
;;2,511111111;513,3333333
;;0,762342465;0,211420144
