Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;14;6000;1053
2;2721;2721;true;116;46800;4186
3;2721;2721;true;19;8000;1123
4;2721;2721;true;14;6000;1024
5;2721;2721;true;14;6000;978
6;2721;2721;true;15;6400;1082
7;2721;2721;true;177;71200;6318
8;2721;2721;true;3;1600;349
9;2721;2721;true;13;5600;979
10;2721;2721;true;5;2400;567
11;2721;2721;true;47;19200;2318
12;2721;2721;true;54;22000;2695
13;2721;2721;true;13;5600;1228
14;2721;2721;true;19;8000;1266
15;2721;2721;true;1;800;279
16;2721;2721;true;35;14400;2139
17;2721;2721;true;15;6400;1251
19;2721;2721;true;110;44400;4330
20;2721;2721;true;3;1600;413
21;2721;2721;true;64;26000;3647
22;2721;2721;true;63;25600;2830
23;2721;2721;true;4;2000;448
24;2721;2721;true;6;2800;661
25;2721;2721;true;21;8800;1379
26;2721;2721;true;9;4000;892
27;2721;2721;true;6;2800;640
28;2721;2721;true;48;19600;2414
30;2721;2721;true;0;400;203
18;2721;2694;false;749;300000;26002
29;2721;2694;false;749;300000;27783
mean;2721;2719,2;#DIV/0!;80,2;32480;3349,2333333333
sd;0;6,850119556;#DIV/0!;186,1957442382;74478,2976952764;6559,2065157374
