Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2950;2950;true;1;800;347
2;2950;2950;true;23;9600;1436
3;2950;2950;true;4;2000;489
4;2950;2950;true;3;1600;445
5;2950;2950;true;0;400;187
6;2950;2950;true;8;3600;786
7;2950;2950;true;7;3200;705
8;2950;2950;true;14;6000;1170
9;2950;2950;true;9;4000;837
10;2950;2950;true;8;3600;706
11;2950;2950;true;13;5600;1060
12;2950;2950;true;4;2000;477
13;2950;2950;true;1;800;329
14;2950;2950;true;4;2000;505
15;2950;2950;true;18;7600;1339
16;2950;2950;true;11;4800;933
17;2950;2950;true;16;6800;1198
18;2950;2950;true;23;9600;1465
19;2950;2950;true;6;2800;608
20;2950;2950;true;21;8800;1399
21;2950;2950;true;10;4400;841
22;2950;2950;true;17;7200;1171
23;2950;2950;true;0;400;179
24;2950;2950;true;0;400;186
25;2950;2950;true;0;400;180
26;2950;2950;true;0;400;181
27;2950;2950;true;3;1600;438
28;2950;2950;true;6;2800;633
29;2950;2950;true;15;6400;1139
30;2950;2950;true;2;1200;392
mean;2950;2950;#DIV/0!;8,2333333333;3693,3333333333;725,3666666667
sd;0;0;#DIV/0!;7,3046198576;2921,8479430489;419,0539001899
