Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
16;5451;5425;false;749;300000;23899
28;5451;5403;false;749;300000;24607
1;5451;5385;false;749;300000;24673
6;5451;5385;false;749;300000;26637
11;5451;5385;false;749;300000;24346
13;5451;5385;false;749;300000;26470
18;5451;5385;false;749;300000;25699
3;5451;5374;false;749;300000;26136
5;5451;5374;false;749;300000;25851
7;5451;5374;false;749;300000;25358
8;5451;5374;false;749;300000;26530
12;5451;5374;false;749;300000;24861
15;5451;5374;false;749;300000;23317
20;5451;5374;false;749;300000;25018
29;5451;5374;false;749;300000;25398
30;5451;5374;false;749;300000;25638
9;5451;5366;false;749;300000;26229
21;5451;5366;false;749;300000;24796
23;5451;5366;false;749;300000;25925
25;5451;5366;false;749;300000;24734
26;5451;5366;false;749;300000;25798
27;5451;5366;false;749;300000;24127
24;5451;5349;false;749;300000;24091
4;5451;5344;false;749;300000;24365
10;5451;5344;false;749;300000;25111
14;5451;5344;false;749;300000;24172
19;5451;5337;false;749;300000;24621
22;5451;5328;false;749;300000;26071
17;5451;5327;false;749;300000;25663
2;5451;5311;false;749;300000;25828
mean;5451;5366,6333333333;#DIV/0!;749;300000;25198,9666666667
sd;0;23,3348685866;#DIV/0!;0;0;874,2463348639
