Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
10;130744;128656;false;749;300000;155997
9;130744;128120;false;749;300000;113451
6;130744;127902;false;749;300000;145126
19;130744;127902;false;749;300000;129569
28;130744;127902;false;749;300000;119744
4;130744;127809;false;749;300000;115327
26;130744;127706;false;749;300000;126591
24;130744;127571;false;749;300000;162443
7;130744;127536;false;749;300000;135156
12;130744;127536;false;749;300000;139550
18;130744;127525;false;749;300000;125524
23;130744;127507;false;749;300000;130458
2;130744;127459;false;749;300000;96881
1;130744;127350;false;749;300000;112194
21;130744;127320;false;749;300000;99846
29;130744;127228;false;749;300000;151732
25;130744;127121;false;749;300000;151560
3;130744;127080;false;749;300000;121295
13;130744;127069;false;749;300000;122903
5;130744;127008;false;749;300000;172030
8;130744;127008;false;749;300000;111214
27;130744;127008;false;749;300000;146393
22;130744;126890;false;749;300000;103732
15;130744;126319;false;749;300000;140438
20;130744;126301;false;749;300000;110725
16;130744;126188;false;749;300000;101128
17;130744;126144;false;749;300000;107909
11;130744;125970;false;749;300000;120979
14;130744;125882;false;749;300000;137783
30;130744;125862;false;749;300000;140400
mean;130744;127162,633333333;#DIV/0!;749;300000;128269,266666667
sd;0;712,1180880053;#DIV/0!;0;0;19589,1658003607
