Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
8;7402;12966;false;0;400;706
20;7402;12920;false;0;400;1071
9;7402;12717;false;0;400;729
14;7402;12672;false;0;400;698
5;7402;12658;false;0;400;1063
21;7402;12655;false;0;400;980
1;7402;12648;false;0;400;697
25;7402;12638;false;0;400;1072
15;7402;12592;false;0;400;1140
22;7402;12592;false;0;400;788
26;7402;12580;false;0;400;770
12;7402;12578;false;0;400;1013
19;7402;12554;false;0;400;1069
18;7402;12543;false;0;400;816
7;7402;12521;false;0;400;1010
10;7402;12499;false;0;400;1074
6;7402;12485;false;0;400;1095
4;7402;12449;false;0;400;1048
3;7402;12429;false;0;400;1011
27;7402;12428;false;0;400;1047
24;7402;12412;false;0;400;1067
11;7402;12400;false;0;400;752
23;7402;12322;false;0;400;1003
29;7402;12282;false;0;400;1067
2;7402;12254;false;0;400;1049
28;7402;12251;false;0;400;811
17;7402;12199;false;0;400;1009
16;7402;12183;false;0;400;1057
13;7402;12179;false;0;400;1025
30;7402;12176;false;0;400;1029
mean;7402;12492,7333333333;#DIV/0!;0;400;958,8666666667
sd;0;205,512636298;#DIV/0!;0;0;143,3105461705
