Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;390;391;false;14;6000;857
6;390;391;false;7;3200;702
9;390;391;false;19;8000;1543
10;390;391;false;2;1200;606
11;390;391;false;25;10400;1128
13;390;391;false;19;8000;1100
14;390;391;false;8;3600;1302
15;390;391;false;3;1600;641
16;390;391;false;18;7600;1107
18;390;391;false;2;1200;509
19;390;391;false;1;800;750
21;390;391;false;7;3200;750
25;390;391;false;99;40000;3020
30;390;391;false;22;9200;1185
2;390;390;true;4;2000;743
3;390;390;true;33;13600;1372
4;390;390;true;14;6000;1035
5;390;390;true;8;3600;1593
7;390;390;true;17;7200;1061
8;390;390;true;4;2000;677
12;390;390;true;5;2400;764
17;390;390;true;17;7200;891
20;390;390;true;27;11200;1233
22;390;390;true;17;7200;1094
23;390;390;true;23;9600;1316
24;390;390;true;13;5600;845
26;390;390;true;3;1600;633
27;390;390;true;30;12400;1363
28;390;390;true;10;4400;779
29;390;390;true;6;2800;720
mean;390;390,4666666667;#DIV/0!;15,9;6760;1043,9666666667
sd;0;0,5074162634;#DIV/0!;18,0923874256;7236,9549702468;475,3803909418
