Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
18;432714;432198;false;749;300000;56667
23;432714;432198;false;749;300000;34379
30;432714;432198;false;749;300000;44250
4;432714;425526;false;749;300000;35384
14;432714;425526;false;749;300000;34611
2;432714;424894;false;749;300000;51476
3;432714;424894;false;749;300000;38653
7;432714;424894;false;749;300000;36496
11;432714;424894;false;749;300000;35825
12;432714;424894;false;749;300000;39673
13;432714;424894;false;749;300000;35485
16;432714;424894;false;749;300000;37279
17;432714;424894;false;749;300000;42581
20;432714;424894;false;749;300000;34670
25;432714;424894;false;749;300000;40252
27;432714;424894;false;749;300000;37408
29;432714;424894;false;749;300000;37962
1;432714;421728;false;749;300000;35471
5;432714;421728;false;749;300000;50254
6;432714;421728;false;749;300000;35392
8;432714;421728;false;749;300000;38650
9;432714;421728;false;749;300000;31572
10;432714;421728;false;749;300000;34240
19;432714;421728;false;749;300000;34382
22;432714;421728;false;749;300000;31598
24;432714;421728;false;749;300000;40126
26;432714;421728;false;749;300000;32706
28;432714;421728;false;749;300000;36647
15;432714;420766;false;749;300000;41021
21;432714;420766;false;749;300000;38759
mean;432714;424230,466666667;#DIV/0!;749;300000;38462,3
sd;0;3173,0312140062;#DIV/0!;0;0;5771,8219746365
