Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
15;12006;12182;false;41;16800;1990
19;12006;12182;false;35;14400;1895
23;12006;12182;false;59;24000;2613
24;12006;12182;false;311;124800;9869
26;12006;12182;false;197;79200;7719
2;12006;12132;false;70;28400;2903
3;12006;12132;false;48;19600;2562
5;12006;12132;false;72;29200;3060
10;12006;12132;false;193;77600;7301
11;12006;12132;false;172;69200;6324
12;12006;12132;false;110;44400;3992
14;12006;12132;false;47;19200;2294
16;12006;12132;false;32;13200;2153
17;12006;12132;false;101;40800;4013
20;12006;12132;false;98;39600;4678
21;12006;12132;false;249;100000;8543
22;12006;12132;false;113;45600;4218
25;12006;12132;false;91;36800;3790
27;12006;12132;false;18;7600;1501
28;12006;12132;false;310;124400;12203
18;12006;12030;false;23;9600;1421
29;12006;12030;false;38;15600;2668
1;12006;11909;false;749;300000;25632
30;12006;11909;false;749;300000;25246
7;12006;11877;false;749;300000;33426
13;12006;11859;false;749;300000;25170
6;12006;11810;false;749;300000;42410
8;12006;11627;false;749;300000;25902
9;12006;11627;false;749;300000;27539
4;12006;11614;false;749;300000;24853
mean;12006;12039,4;#DIV/0!;280,6666666667;112666,666666667;10929,6
sd;0;175,8854642991;#DIV/0!;297,2586628572;118903,465142899;11634,3232116485
