Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2737;2714;false;749;300000;15286
2;2737;2714;false;749;300000;14917
3;2737;2714;false;749;300000;14891
4;2737;2714;false;749;300000;15274
5;2737;2714;false;749;300000;15735
6;2737;2714;false;749;300000;12850
7;2737;2714;false;749;300000;15046
8;2737;2714;false;749;300000;14253
9;2737;2714;false;749;300000;14561
10;2737;2714;false;749;300000;14709
11;2737;2714;false;749;300000;14962
12;2737;2714;false;749;300000;14094
13;2737;2714;false;749;300000;14635
14;2737;2714;false;749;300000;12730
15;2737;2714;false;749;300000;15474
16;2737;2714;false;749;300000;14236
17;2737;2714;false;749;300000;15774
18;2737;2714;false;749;300000;15486
19;2737;2714;false;749;300000;16422
20;2737;2714;false;749;300000;14814
21;2737;2714;false;749;300000;16239
22;2737;2714;false;749;300000;14114
23;2737;2714;false;749;300000;14676
24;2737;2714;false;749;300000;15649
25;2737;2714;false;749;300000;16159
26;2737;2714;false;749;300000;15677
27;2737;2714;false;749;300000;16196
28;2737;2714;false;749;300000;14303
29;2737;2714;false;749;300000;15521
30;2737;2714;false;749;300000;12352
mean;2737;2714;#DIV/0!;749;300000;14901,1666666667
sd;0;0;#DIV/0!;0;0;1009,2512787597
