Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;4653;4625;false;749;300000;20189
2;4653;4625;false;749;300000;22014
3;4653;4625;false;749;300000;22089
4;4653;4625;false;749;300000;21117
5;4653;4625;false;749;300000;19751
6;4653;4625;false;749;300000;20373
7;4653;4625;false;749;300000;20862
8;4653;4625;false;749;300000;21483
9;4653;4625;false;749;300000;22036
10;4653;4625;false;749;300000;20944
11;4653;4625;false;749;300000;23650
12;4653;4625;false;749;300000;20707
13;4653;4625;false;749;300000;22914
15;4653;4625;false;749;300000;22444
16;4653;4625;false;749;300000;21188
17;4653;4625;false;749;300000;19512
18;4653;4625;false;749;300000;23950
20;4653;4625;false;749;300000;19812
21;4653;4625;false;749;300000;22229
22;4653;4625;false;749;300000;21285
23;4653;4625;false;749;300000;22302
24;4653;4625;false;749;300000;22397
25;4653;4625;false;749;300000;21822
26;4653;4625;false;749;300000;22632
27;4653;4625;false;749;300000;21701
28;4653;4625;false;749;300000;21065
29;4653;4625;false;749;300000;23557
30;4653;4625;false;749;300000;21041
14;4653;4602;false;749;300000;22493
19;4653;4594;false;749;300000;20922
mean;4653;4623,2;#DIV/0!;749;300000;21616,0333333333
sd;0;6,9301938073;#DIV/0!;0;0;1142,4565028567
