Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;21;8800;1267
2;2721;2721;true;58;23600;2334
3;2721;2721;true;66;26800;2541
4;2721;2721;true;39;16000;1738
5;2721;2721;true;273;109600;8513
6;2721;2721;true;3;1600;404
7;2721;2721;true;69;28000;2857
8;2721;2721;true;8;3600;748
9;2721;2721;true;69;28000;2727
10;2721;2721;true;78;31600;3132
11;2721;2721;true;8;3600;673
12;2721;2721;true;25;10400;1407
13;2721;2721;true;22;9200;1223
14;2721;2721;true;4;2000;454
15;2721;2721;true;12;5200;885
16;2721;2721;true;64;26000;2513
17;2721;2721;true;31;12800;1530
18;2721;2721;true;79;32000;3079
19;2721;2721;true;74;30000;3036
20;2721;2721;true;21;8800;1288
21;2721;2721;true;207;83200;7693
22;2721;2721;true;9;4000;779
23;2721;2721;true;225;90400;7541
24;2721;2721;true;13;5600;1091
25;2721;2721;true;28;11600;1529
26;2721;2721;true;53;21600;2197
27;2721;2721;true;42;17200;2081
28;2721;2721;true;240;96400;8017
29;2721;2721;true;62;25200;2750
30;2721;2721;true;611;244800;17774
mean;2721;2721;#DIV/0!;83,8;33920;3126,7
sd;0;0;#DIV/0!;123,4016151462;49360,6460584781;3585,729379465
