Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;
1;2277;2277;true;51;20800;1863;
2;2277;2277;true;184;74000;4449;
3;2277;2277;true;115;46400;2971;
4;2277;2277;true;266;106800;6793;
5;2277;2277;true;163;65600;4128;
6;2277;2277;true;97;39200;2834;
7;2277;2277;true;104;42000;3705;
8;2277;2277;true;56;22800;1882;
9;2277;2277;true;291;116800;7588;
10;2277;2277;true;257;103200;6299;
11;2277;2277;true;43;17600;1712;
12;2277;2277;true;180;72400;4479;
13;2277;2277;true;369;148000;8758;
14;2277;2277;true;93;37600;2717;
15;2277;2277;true;4;2000;443;
16;2277;2277;true;19;8000;1040;
17;2277;2277;true;250;100400;6752;
18;2277;2277;true;374;150000;9676;
19;2277;2277;true;69;28000;2379;
20;2277;2277;true;188;75600;5355;
21;2277;2277;true;353;141600;8612;
22;2277;2277;true;484;194000;12172;
23;2277;2277;true;0;400;228;
24;2277;2277;true;37;15200;1488;
25;2277;2277;true;0;400;153;
26;2277;2277;true;37;15200;1465;
27;2277;2277;true;10;4400;626;
28;2277;2277;true;2;1200;297;
29;2277;2277;true;243;97600;6189;
30;2277;2277;true;10;4400;793;
mean;2277;2277;#DIV/0!;144,9666666667;58386,6666666667;3928,2;
sd;0;0;#DIV/0!;135,6225704269;54249,028170754;3232,31002482;#DIV/0!
