Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2694;2694;true;4;2000;470
2;2694;2694;true;0;400;195
3;2694;2694;true;6;2800;554
4;2694;2694;true;18;7600;1257
5;2694;2694;true;5;2400;533
6;2694;2694;true;6;2800;641
7;2694;2694;true;2;1200;348
8;2694;2694;true;5;2400;545
9;2694;2694;true;10;4400;754
10;2694;2694;true;2;1200;352
11;2694;2694;true;5;2400;578
12;2694;2694;true;0;400;169
13;2694;2694;true;0;400;170
14;2694;2694;true;7;3200;624
15;2694;2694;true;0;400;180
16;2694;2694;true;14;6000;1009
17;2694;2694;true;5;2400;490
18;2694;2694;true;3;1600;396
19;2694;2694;true;8;3600;637
20;2694;2694;true;12;5200;869
21;2694;2694;true;0;400;173
22;2694;2694;true;3;1600;384
23;2694;2694;true;1;800;256
24;2694;2694;true;0;400;176
25;2694;2694;true;13;5600;941
26;2694;2694;true;0;400;203
27;2694;2694;true;1;800;263
28;2694;2694;true;10;4400;1097
29;2694;2694;true;18;7600;1225
30;2694;2694;true;4;2000;491
mean;2694;2694;#DIV/0!;5,4;2560;532,6666666667
sd;0;0;#DIV/0!;5,3407993719;2136,3197487655;323,9579935874
