Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;2721;2721;true;0;490;232
4;2721;2721;true;353;141860;13520
7;2721;2721;true;0;400;166
8;2721;2721;true;2;1500;528
9;2721;2721;true;4;2320;781
11;2721;2721;true;3;1625;568
13;2721;2721;true;0;715;297
14;2721;2721;true;0;400;169
15;2721;2721;true;0;760;314
18;2721;2721;true;73;29795;3860
19;2721;2721;true;243;97820;9670
21;2721;2721;true;1;975;404
23;2721;2721;true;7;3380;1077
25;2721;2721;true;51;21145;2908
26;2721;2721;true;2;1500;508
28;2721;2721;true;29;12375;2272
1;2721;2694;false;749;300000;31135
5;2721;2694;false;749;300000;33989
6;2721;2694;false;749;300000;33669
10;2721;2694;false;749;300000;31850
17;2721;2694;false;749;300000;31684
20;2721;2694;false;749;300000;31923
27;2721;2694;false;749;300000;33429
2;2721;2673;false;749;300000;29009
12;2721;2673;false;749;300000;28418
29;2721;2673;false;749;300000;28070
30;2721;2673;false;749;300000;29273
22;2721;2657;false;749;300000;27839
16;2721;2630;false;749;300000;27261
24;2721;2630;false;749;300000;29187
mean;2721;2700,1;#DIV/0!;375,1333333333;150568,666666667;15467
sd;0;27,4632670031;#DIV/0!;363,164988945;145161,010628824;14631,2979130592
