Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
6;3535;3457;false;749;300000;25367
14;3535;3457;false;749;300000;28081
22;3535;3457;false;749;300000;27671
27;3535;3457;false;749;300000;28112
30;3535;3457;false;749;300000;26831
1;3535;3414;false;749;300000;25033
2;3535;3414;false;749;300000;26362
3;3535;3414;false;749;300000;25271
4;3535;3414;false;749;300000;25378
5;3535;3414;false;749;300000;25658
7;3535;3414;false;749;300000;23943
8;3535;3414;false;749;300000;25031
9;3535;3414;false;749;300000;25376
10;3535;3414;false;749;300000;26885
11;3535;3414;false;749;300000;25995
12;3535;3414;false;749;300000;25637
13;3535;3414;false;749;300000;26834
15;3535;3414;false;749;300000;24849
16;3535;3414;false;749;300000;25251
17;3535;3414;false;749;300000;24630
18;3535;3414;false;749;300000;26866
19;3535;3414;false;749;300000;25265
20;3535;3414;false;749;300000;24946
21;3535;3414;false;749;300000;25616
23;3535;3414;false;749;300000;26280
24;3535;3414;false;749;300000;25575
25;3535;3414;false;749;300000;27948
26;3535;3414;false;749;300000;25760
28;3535;3414;false;749;300000;25259
29;3535;3414;false;749;300000;25978
mean;3535;3421,1666666667;#DIV/0!;749;300000;25922,9333333333
sd;0;16,2991079369;#DIV/0!;0;0;1062,5303219473
