Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
9;12985;12757;false;749;300000;35483
18;12985;12757;false;749;300000;34960
7;12985;12738;false;749;300000;39067
25;12985;12738;false;749;300000;29649
26;12985;12716;false;749;300000;34475
14;12985;12713;false;749;300000;37940
22;12985;12713;false;749;300000;33853
29;12985;12689;false;749;300000;34488
19;12985;12670;false;749;300000;29885
8;12985;12645;false;749;300000;32896
11;12985;12644;false;749;300000;29572
30;12985;12644;false;749;300000;31223
6;12985;12618;false;749;300000;31195
10;12985;12618;false;749;300000;38589
5;12985;12615;false;749;300000;31875
24;12985;12615;false;749;300000;37700
2;12985;12595;false;749;300000;33559
15;12985;12595;false;749;300000;34644
16;12985;12583;false;749;300000;31775
21;12985;12576;false;749;300000;37213
3;12985;12572;false;749;300000;36071
12;12985;12565;false;749;300000;34653
4;12985;12558;false;749;300000;31168
27;12985;12530;false;749;300000;37829
28;12985;12525;false;749;300000;40360
1;12985;12505;false;749;300000;30683
13;12985;12501;false;749;300000;37620
20;12985;12418;false;749;300000;30068
23;12985;12374;false;749;300000;36759
17;12985;12207;false;749;300000;29405
mean;12985;12599,8;#DIV/0!;749;300000;34155,2333333333
sd;0;120,1841690189;#DIV/0!;0;0;3257,032208276
