Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;261395;257418;false;749;300000;184241
17;261395;255914;false;749;300000;187316
4;261395;255620;false;749;300000;250434
6;261395;254377;false;749;300000;222534
16;261395;254225;false;749;300000;222908
28;261395;254124;false;749;300000;201721
25;261395;253953;false;749;300000;200053
5;261395;253809;false;749;300000;206202
23;261395;253808;false;749;300000;190302
15;261395;253674;false;749;300000;203508
21;261395;253486;false;749;300000;186351
18;261395;252909;false;749;300000;184111
19;261395;252536;false;749;300000;266297
9;261395;252352;false;749;300000;291304
8;261395;252228;false;749;300000;217269
20;261395;252129;false;749;300000;185093
14;261395;252080;false;749;300000;125205
26;261395;252020;false;749;300000;195440
29;261395;251964;false;749;300000;259098
1;261395;251857;false;749;300000;163158
27;261395;251729;false;749;300000;169463
30;261395;251582;false;749;300000;275632
24;261395;251561;false;749;300000;191773
2;261395;251062;false;749;300000;185123
12;261395;250740;false;749;300000;108080
13;261395;250675;false;749;300000;222327
10;261395;250480;false;749;300000;277075
11;261395;249901;false;749;300000;126400
22;261395;249453;false;749;300000;111348
7;261395;249354;false;749;300000;170162
mean;261395;252567,333333333;#DIV/0!;749;300000;199330,933333333
sd;0;1901,0341529217;#DIV/0!;0;0;47077,385753403
