Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
8;13932;26747;false;0;400;713
6;13932;26101;false;0;400;704
10;13932;25868;false;0;400;570
20;13932;25825;false;0;400;757
24;13932;25797;false;0;400;684
12;13932;25777;false;0;400;556
29;13932;25679;false;0;400;679
19;13932;25644;false;0;400;662
3;13932;25616;false;0;400;638
7;13932;25601;false;0;400;524
11;13932;25551;false;0;400;608
30;13932;25414;false;0;400;625
22;13932;25381;false;0;400;730
18;13932;25364;false;0;400;615
5;13932;25353;false;0;400;721
2;13932;25192;false;0;400;709
15;13932;25158;false;0;400;652
14;13932;25134;false;0;400;652
21;13932;25128;false;0;400;748
28;13932;25114;false;0;400;590
23;13932;25043;false;0;400;666
26;13932;25008;false;0;400;711
1;13932;24995;false;0;400;772
9;13932;24983;false;0;400;717
16;13932;24906;false;0;400;678
17;13932;24793;false;0;400;630
27;13932;24744;false;0;400;636
25;13932;24725;false;0;400;657
13;13932;24721;false;0;400;691
4;13932;24531;false;0;400;550
mean;13932;25329,7666666667;#DIV/0!;0;400;661,5
sd;0;483,1845284213;#DIV/0!;0;0;63,237783337
