Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;390;391;false;1;1200;611
4;390;391;false;9;4220;5676
5;390;391;false;0;730;536
7;390;391;false;3;1625;671
8;390;391;false;113;45950;4139
9;390;391;false;8;3665;920
11;390;391;false;7;3585;845
13;390;391;false;10;4515;908
15;390;391;false;184;74265;6952
22;390;391;false;3;1985;766
23;390;391;false;2;1380;650
26;390;391;false;4;2290;1303
29;390;391;false;10;4460;1197
30;390;391;false;31;13000;2183
1;390;390;true;2;1325;693
6;390;390;true;48;19805;2254
14;390;390;true;73;29640;2835
16;390;390;true;45;18610;2101
17;390;390;true;7;3315;871
19;390;390;true;666;267060;21249
20;390;390;true;0;720;553
21;390;390;true;246;99025;8560
24;390;390;true;14;6100;1181
27;390;390;true;390;156435;14927
28;390;390;true;68;27655;3735
2;390;389;false;749;300000;31968
10;390;389;false;749;300000;24510
18;390;389;false;749;300000;24763
25;390;389;false;749;300000;25786
12;390;387;false;749;300000;25237
mean;390;390,2333333333;#DIV/0!;189,6333333333;76418,6666666667;7286
sd;0;0,9352607357;#DIV/0!;290,3566752299;116075,579071489;9891,2354899295
