Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;16679;16338;false;749;300000;41893
2;16679;16338;false;749;300000;42563
20;16679;16338;false;749;300000;44278
21;16679;16338;false;749;300000;40285
7;16679;16255;false;749;300000;41755
14;16679;16255;false;749;300000;58783
16;16679;16255;false;749;300000;59174
19;16679;16222;false;749;300000;56088
26;16679;16212;false;749;300000;123524
17;16679;16141;false;749;300000;174689
8;16679;16131;false;749;300000;46061
10;16679;16131;false;749;300000;49150
30;16679;16118;false;749;300000;51990
18;16679;16117;false;749;300000;151878
3;16679;16058;false;749;300000;170006
23;16679;16053;false;749;300000;55042
5;16679;16051;false;749;300000;105490
4;16679;16031;false;749;300000;48921
29;16679;16000;false;749;300000;147183
11;16679;15970;false;749;300000;102371
25;16679;15936;false;749;300000;168891
6;16679;15909;false;749;300000;157367
27;16679;15908;false;749;300000;168625
24;16679;15900;false;749;300000;51273
12;16679;15888;false;749;300000;69190
28;16679;15835;false;749;300000;126539
9;16679;15584;false;749;300000;97003
15;16679;15570;false;749;300000;101402
13;16679;15566;false;749;300000;158667
22;16679;15544;false;749;300000;82341
mean;16679;16033,0666666667;#DIV/0!;749;300000;93080,7333333333
sd;0;237,1370814577;#DIV/0!;0;0;48972,7304224492
