Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
20;45410;44183;false;749;300000;32144
16;45410;43760;false;749;300000;45884
28;45410;43760;false;749;300000;44092
5;45410;43660;false;749;300000;57371
3;45410;43595;false;749;300000;35055
23;45410;43595;false;749;300000;34607
15;45410;43568;false;749;300000;46555
6;45410;43327;false;749;300000;46931
8;45410;43327;false;749;300000;51058
13;45410;43327;false;749;300000;47298
18;45410;43327;false;749;300000;48424
22;45410;43327;false;749;300000;48752
26;45410;43327;false;749;300000;45703
7;45410;43318;false;749;300000;43338
12;45410;43314;false;749;300000;40848
4;45410;43306;false;749;300000;46244
30;45410;43306;false;749;300000;42712
25;45410;43214;false;749;300000;41480
1;45410;43209;false;749;300000;35322
9;45410;43168;false;749;300000;44892
10;45410;43162;false;749;300000;79163
11;45410;43162;false;749;300000;84577
19;45410;43162;false;749;300000;52501
21;45410;43162;false;749;300000;49918
2;45410;43116;false;749;300000;47484
14;45410;43116;false;749;300000;53267
17;45410;43113;false;749;300000;47815
24;45410;43113;false;749;300000;55111
27;45410;43113;false;749;300000;60924
29;45410;42976;false;749;300000;60218
mean;45410;43337,1;#DIV/0!;749;300000;48989,6
sd;0;257,9032630725;#DIV/0!;0;0;11356,8134785338
