Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2690;2650;false;749;300000;21696
2;2690;2650;false;749;300000;24638
3;2690;2650;false;749;300000;28600
4;2690;2650;false;749;300000;25782
5;2690;2650;false;749;300000;26373
6;2690;2650;false;749;300000;24379
7;2690;2650;false;749;300000;26817
8;2690;2650;false;749;300000;23256
9;2690;2650;false;749;300000;27424
10;2690;2650;false;749;300000;26743
11;2690;2650;false;749;300000;27050
12;2690;2650;false;749;300000;27379
13;2690;2650;false;749;300000;22934
14;2690;2650;false;749;300000;23189
15;2690;2650;false;749;300000;23489
16;2690;2650;false;749;300000;24819
17;2690;2650;false;749;300000;27961
18;2690;2650;false;749;300000;25720
19;2690;2650;false;749;300000;23529
20;2690;2650;false;749;300000;24252
21;2690;2650;false;749;300000;25028
23;2690;2650;false;749;300000;23605
24;2690;2650;false;749;300000;24620
26;2690;2650;false;749;300000;23485
27;2690;2650;false;749;300000;25913
28;2690;2650;false;749;300000;24023
29;2690;2650;false;749;300000;22872
22;2690;2586;false;749;300000;23910
25;2690;2586;false;749;300000;24869
30;2690;2586;false;749;300000;23882
mean;2690;2643,6;#DIV/0!;749;300000;24941,2333333333
sd;0;19,5282289043;#DIV/0!;0;0;1731,4182483082
