Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
10;9770;9457;false;749;300000;38084
21;9770;9423;false;749;300000;31132
5;9770;9377;false;749;300000;27134
30;9770;9377;false;749;300000;28105
2;9770;9358;false;749;300000;29037
18;9770;9354;false;749;300000;36679
20;9770;9354;false;749;300000;37033
25;9770;9335;false;749;300000;32750
13;9770;9332;false;749;300000;33532
16;9770;9332;false;749;300000;35204
27;9770;9332;false;749;300000;37114
28;9770;9332;false;749;300000;33271
3;9770;9328;false;749;300000;29548
29;9770;9328;false;749;300000;35093
8;9770;9265;false;749;300000;27264
23;9770;9251;false;749;300000;33956
15;9770;9229;false;749;300000;27910
1;9770;9228;false;749;300000;31299
4;9770;9228;false;749;300000;30676
6;9770;9228;false;749;300000;32083
7;9770;9228;false;749;300000;31399
9;9770;9228;false;749;300000;31011
11;9770;9228;false;749;300000;32456
12;9770;9228;false;749;300000;32173
14;9770;9228;false;749;300000;34330
17;9770;9228;false;749;300000;32258
19;9770;9228;false;749;300000;32319
22;9770;9228;false;749;300000;32223
24;9770;9228;false;749;300000;32100
26;9770;9228;false;749;300000;31960
mean;9770;9290,9333333333;#DIV/0!;749;300000;32304,4333333333
sd;0;69,8061025557;#DIV/0!;0;0;2869,7821578185
