Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
2;2721;2721;true;216;86835;13088
3;2721;2721;true;90;36460;5831
4;2721;2721;true;5;2465;987
6;2721;2721;true;5;2545;963
7;2721;2721;true;163;65995;7494
10;2721;2721;true;9;4060;1205
11;2721;2721;true;0;665;269
12;2721;2721;true;3;1970;680
13;2721;2721;true;3;1760;553
15;2721;2721;true;82;33385;4351
18;2721;2721;true;13;5870;1333
19;2721;2721;true;41;16900;2492
20;2721;2721;true;189;76025;7137
21;2721;2721;true;92;37265;5342
22;2721;2721;true;10;4610;1181
23;2721;2721;true;131;53135;5423
24;2721;2721;true;1;1135;390
25;2721;2721;true;406;162905;17900
27;2721;2721;true;6;3105;964
28;2721;2721;true;246;98925;9444
30;2721;2721;true;62;25380;3197
5;2721;2694;false;749;300000;37951
16;2721;2694;false;749;300000;28321
9;2721;2673;false;749;300000;29415
17;2721;2657;false;749;300000;33482
1;2721;2623;false;749;300000;38476
8;2721;2623;false;749;300000;35526
14;2721;2623;false;749;300000;36403
26;2721;2623;false;749;300000;32491
29;2721;2623;false;749;300000;35015
mean;2721;2699,1333333333;#DIV/0!;283,8;114046,5;13243,4666666667
sd;0;37,8442664845;#DIV/0!;322,3546344398;128853,067371127;14550,8644955486
