Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;670;268665;24689
3;2721;2721;true;29;12235;2050
5;2721;2721;true;53;21670;2537
7;2721;2721;true;140;56690;5444
8;2721;2721;true;337;135290;13105
9;2721;2721;true;613;245910;22504
12;2721;2721;true;2;1335;431
16;2721;2721;true;1;990;355
19;2721;2721;true;16;7025;1458
20;2721;2721;true;6;2935;934
23;2721;2721;true;37;15425;2254
26;2721;2721;true;0;630;271
11;2721;2711;false;749;300000;23692
15;2721;2711;false;749;300000;25145
18;2721;2711;false;749;300000;25807
27;2721;2711;false;749;300000;24251
17;2721;2700;false;749;300000;25445
2;2721;2694;false;749;300000;28433
6;2721;2694;false;749;300000;27256
10;2721;2694;false;749;300000;25427
13;2721;2694;false;749;300000;28074
25;2721;2694;false;749;300000;29575
28;2721;2694;false;749;300000;25326
30;2721;2694;false;749;300000;28533
14;2721;2673;false;749;300000;25067
21;2721;2673;false;749;300000;24738
22;2721;2673;false;749;300000;24681
24;2721;2673;false;749;300000;26595
29;2721;2673;false;749;300000;29521
4;2721;2657;false;749;300000;24062
mean;2721;2702,5333333333;#DIV/0!;512,8666666667;205626,666666667;18255,3333333333
sd;0;19,7654057476;#DIV/0!;330,6318645942;132172,602411245;11382,6061567437
