Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;;
6;2778;2743;false;751;300049;17143;0,0125989921;
1;2778;2740;false;751;300049;18995;0,0136789057;
2;2778;2740;false;751;300049;18186;0,0136789057;
3;2778;2740;false;751;300049;18244;0,0136789057;
4;2778;2740;false;751;300049;18674;0,0136789057;
5;2778;2740;false;751;300049;18873;0,0136789057;
7;2778;2740;false;751;300049;17876;0,0136789057;
8;2778;2740;false;751;300049;18499;0,0136789057;
9;2778;2740;false;751;300049;18436;0,0136789057;
11;2778;2740;false;751;300049;17962;0,0136789057;
12;2778;2740;false;751;300049;16980;0,0136789057;
13;2778;2740;false;751;300049;17823;0,0136789057;
14;2778;2740;false;751;300049;18577;0,0136789057;
15;2778;2740;false;751;300049;18276;0,0136789057;
16;2778;2740;false;751;300049;21816;0,0136789057;
17;2778;2740;false;751;300049;18478;0,0136789057;
18;2778;2740;false;751;300049;18146;0,0136789057;
19;2778;2740;false;751;300049;18654;0,0136789057;
20;2778;2740;false;751;300049;18383;0,0136789057;
21;2778;2740;false;751;300049;18741;0,0136789057;
22;2778;2740;false;751;300049;18532;0,0136789057;
23;2778;2740;false;751;300049;17808;0,0136789057;
24;2778;2740;false;751;300049;18425;0,0136789057;
25;2778;2740;false;751;300049;17101;0,0136789057;
26;2778;2740;false;751;300049;18398;0,0136789057;
27;2778;2740;false;751;300049;17444;0,0136789057;
30;2778;2740;false;751;300049;18644;0,0136789057;
28;2778;2711;false;751;300049;17677;0,0241180706;
10;2778;2687;false;751;300049;22389;0,0327573794;
29;2778;2687;false;751;300049;19975;0,0327573794;
mean;2778;2735,6;#DIV/0!;751;300049;18505,1666666667;0,015262779;0,015262779
sd;0;14,25;#DIV/0!;0;0;1155,3528818544;;
