Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;10;4789;939
2;2721;2721;true;26;11173;1354
3;2721;2721;true;11;5188;844
4;2721;2721;true;35;14764;1570
5;2721;2721;true;33;13966;1497
6;2721;2721;true;16;7183;1116
7;2721;2721;true;16;7183;1052
8;2721;2721;true;13;5986;982
9;2721;2721;true;1;1198;300
10;2721;2721;true;0;400;176
11;2721;2721;true;14;6385;1087
12;2721;2721;true;5;2794;519
13;2721;2721;true;3;1996;458
14;2721;2721;true;0;400;165
15;2721;2721;true;215;86584;5305
16;2721;2721;true;5;2794;585
17;2721;2721;true;0;400;173
18;2721;2721;true;0;400;178
19;2721;2721;true;7;3592;652
20;2721;2721;true;6;3193;565
21;2721;2721;true;8;3991;731
22;2721;2721;true;1;1198;288
23;2721;2721;true;171;69028;4453
24;2721;2721;true;364;146035;10910
25;2721;2721;true;26;11173;1397
26;2721;2721;true;0;799;252
28;2721;2721;true;0;400;207
29;2721;2721;true;4;2395;499
30;2721;2721;true;26;11173;1628
27;2721;2694;false;751;300049;21930
mean;2721;2720,1;#DIV/0!;58,9;24220,3;2060,4
sd;0;4,93;#DIV/0!;152,4006403281;60772,1666447725;4317,3637757796
