Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2950;2950;true;6;3193;701
2;2950;2950;true;19;8380;1442
3;2950;2950;true;13;5986;1334
4;2950;2950;true;5;2794;617
5;2950;2950;true;18;7981;1341
6;2950;2950;true;10;4789;898
7;2950;2950;true;10;4789;854
8;2950;2950;true;2;1597;417
9;2950;2950;true;7;3592;732
10;2950;2950;true;8;3991;786
11;2950;2950;true;5;2794;579
12;2950;2950;true;4;2395;582
13;2950;2950;true;2;1597;417
14;2950;2950;true;9;4390;904
15;2950;2950;true;3;1996;474
16;2950;2950;true;0;400;199
17;2950;2950;true;6;3193;683
18;2950;2950;true;2;1597;452
19;2950;2950;true;3;1996;498
20;2950;2950;true;12;5587;1089
21;2950;2950;true;3;1996;484
22;2950;2950;true;5;2794;629
23;2950;2950;true;7;3592;708
24;2950;2950;true;7;3592;733
25;2950;2950;true;6;3193;748
26;2950;2950;true;0;400;196
27;2950;2950;true;1;1198;376
28;2950;2950;true;6;3193;712
29;2950;2950;true;4;2395;591
30;2950;2950;true;8;3991;882
mean;2950;2950;#DIV/0!;6,3666666667;3312,7;701,9333333333
sd;0;0;#DIV/0!;4,66;1898,1262657394;304,40262962
