Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
5;5451;5374;false;751;300049;24428
9;5451;5374;false;751;300049;25470
18;5451;5374;false;751;300049;20116
21;5451;5374;false;751;300049;19811
29;5451;5372;false;751;300049;18671
6;5451;5367;false;751;300049;21037
12;5451;5367;false;751;300049;21789
17;5451;5367;false;751;300049;19091
22;5451;5367;false;751;300049;24304
28;5451;5366;false;751;300049;23054
10;5451;5360;false;751;300049;17495
15;5451;5351;false;751;300049;17358
24;5451;5351;false;751;300049;17292
4;5451;5349;false;751;300049;17656
25;5451;5349;false;751;300049;19345
2;5451;5344;false;751;300049;18656
8;5451;5344;false;751;300049;21389
20;5451;5344;false;751;300049;21025
3;5451;5328;false;751;300049;18284
27;5451;5328;false;751;300049;20508
1;5451;5327;false;751;300049;17328
7;5451;5327;false;751;300049;20455
13;5451;5327;false;751;300049;20984
16;5451;5327;false;751;300049;23161
23;5451;5327;false;751;300049;20782
19;5451;5312;false;751;300049;24149
11;5451;5311;false;751;300049;20875
30;5451;5290;false;751;300049;18655
26;5451;5285;false;751;300049;16567
14;5451;5275;false;751;300049;22129
mean;5451;5341,9333333333;#DIV/0!;751;300049;20395,4666666667
sd;0;27,846789369;#DIV/0!;0;0;2414,976943323
