Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
9;823976;814069;false;751;300049;217576
17;823976;814069;false;751;300049;328491
18;823976;814069;false;751;300049;246861
28;823976;814069;false;751;300049;138235
11;823976;813726;false;751;300049;264231
21;823976;812898;false;751;300049;301439
26;823976;812898;false;751;300049;284036
19;823976;808787;false;751;300049;439335
29;823976;808787;false;751;300049;477098
23;823976;808148;false;751;300049;329410
1;823976;808148;false;751;300049;385790
13;823976;808148;false;751;300049;369441
14;823976;808148;false;751;300049;359689
30;823976;808148;false;751;300049;387783
4;823976;807801;false;751;300049;386330
2;823976;807464;false;751;300049;373827
10;823976;807464;false;751;300049;373320
12;823976;807464;false;751;300049;373254
8;823976;805304;false;751;300049;367488
22;823976;805304;false;751;300049;347661
25;823976;805304;false;751;300049;380292
5;823976;805210;false;751;300049;287997
27;823976;805210;false;751;300049;490741
15;823976;804144;false;751;300049;187271
6;823976;803956;false;751;300049;532549
3;823976;802073;false;751;300049;339041
7;823976;801368;false;751;300049;395883
24;823976;800918;false;751;300049;446731
20;823976;800021;false;751;300049;135731
16;823976;796423;false;751;300049;248255
mean;823976;807318;#DIV/0!;751;300049;339859,5333
sd;0;4593,661007;#DIV/0!;0;0;96079,06484
