Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
2;13099;12846;false;751;300049;29803
5;13099;12825;false;751;300049;30122
19;13099;12825;false;751;300049;29792
1;13099;12808;false;751;300049;30398
3;13099;12808;false;751;300049;29880
4;13099;12808;false;751;300049;29344
6;13099;12808;false;751;300049;29615
7;13099;12808;false;751;300049;29620
8;13099;12808;false;751;300049;29525
9;13099;12808;false;751;300049;35736
11;13099;12808;false;751;300049;30255
12;13099;12808;false;751;300049;30254
14;13099;12808;false;751;300049;29621
15;13099;12808;false;751;300049;30048
18;13099;12808;false;751;300049;30426
20;13099;12808;false;751;300049;29657
21;13099;12808;false;751;300049;42767
22;13099;12808;false;751;300049;30681
23;13099;12808;false;751;300049;29528
24;13099;12808;false;751;300049;30173
25;13099;12808;false;751;300049;29965
26;13099;12808;false;751;300049;29534
27;13099;12808;false;751;300049;29469
28;13099;12808;false;751;300049;30759
29;13099;12808;false;751;300049;29714
30;13099;12808;false;751;300049;30144
10;13099;12786;false;751;300049;29394
16;13099;12786;false;751;300049;29675
17;13099;12786;false;751;300049;35784
13;13099;12776;false;751;300049;23048
mean;13099;12807,1333333333;#DIV/0!;751;300049;30491,0333333333
sd;0;12,4228191962;#DIV/0!;0;0;3077,228830411
