Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
2;16869;16646;false;751;300049;24360
3;16869;16646;false;751;300049;25526
6;16869;16646;false;751;300049;24619
12;16869;16646;false;751;300049;24987
18;16869;16646;false;751;300049;24732
24;16869;16646;false;751;300049;24761
25;16869;16646;false;751;300049;26182
21;16869;16572;false;751;300049;28233
9;16869;16543;false;751;300049;27830
8;16869;16492;false;751;300049;25888
20;16869;16449;false;751;300049;33211
19;16869;16448;false;751;300049;32240
13;16869;16430;false;751;300049;23756
22;16869;16404;false;751;300049;26749
15;16869;16389;false;751;300049;35277
26;16869;16367;false;751;300049;28222
4;16869;16340;false;751;300049;27358
5;16869;16340;false;751;300049;25953
7;16869;16340;false;751;300049;26213
11;16869;16340;false;751;300049;26029
23;16869;16340;false;751;300049;25566
27;16869;16340;false;751;300049;26675
30;16869;16340;false;751;300049;28107
16;16869;16336;false;751;300049;24486
17;16869;16336;false;751;300049;26861
29;16869;16336;false;751;300049;26939
28;16869;16289;false;751;300049;34847
1;16869;16261;false;751;300049;24518
10;16869;16261;false;751;300049;27029
14;16869;16204;false;751;300049;28276
mean;16869;16433,9666666667;#DIV/0!;751;300049;27181
sd;0;141,5669655927;#DIV/0!;0;0;2998,0295252854
