Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
17;773772;760475;false;751;300049;164586
5;773772;757967;false;751;300049;143795
7;773772;755947;false;751;300049;144485
11;773772;750714;false;751;300049;67405
21;773772;750409;false;751;300049;54213
24;773772;750409;false;751;300049;74716
23;773772;749617;false;751;300049;136115
27;773772;748647;false;751;300049;140171
6;773772;748130;false;751;300049;68158
25;773772;748130;false;751;300049;76247
4;773772;746274;false;751;300049;108729
28;773772;746000;false;751;300049;52328
29;773772;746000;false;751;300049;145289
30;773772;746000;false;751;300049;87144
13;773772;743762;false;751;300049;134240
8;773772;743299;false;751;300049;154258
1;773772;741305;false;751;300049;119237
2;773772;741305;false;751;300049;77185
12;773772;741305;false;751;300049;105321
16;773772;741305;false;751;300049;82071
19;773772;741305;false;751;300049;92202
26;773772;740869;false;751;300049;51596
10;773772;740448;false;751;300049;52391
20;773772;737931;false;751;300049;50829
3;773772;735160;false;751;300049;60601
15;773772;733927;false;751;300049;127018
9;773772;733752;false;751;300049;51192
14;773772;733664;false;751;300049;146986
18;773772;733664;false;751;300049;72558
22;773772;731663;false;751;300049;64589
mean;773772;743979,433333333;#DIV/0!;751;300049;96855,1666666667
sd;0;7398,7299827383;#DIV/0!;0;0;38035,8346318794
