Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
29;61040;59184;false;751;300049;39388
6;61040;59041;false;751;300049;73842
17;61040;59041;false;751;300049;25010
2;61040;58911;false;751;300049;27313
25;61040;58911;false;751;300049;26758
19;61040;58741;false;751;300049;39754
26;61040;58741;false;751;300049;27963
10;61040;58608;false;751;300049;26635
1;61040;58488;false;751;300049;47505
3;61040;58488;false;751;300049;31165
4;61040;58488;false;751;300049;25536
11;61040;58488;false;751;300049;30371
18;61040;58488;false;751;300049;26707
20;61040;58488;false;751;300049;40087
24;61040;58488;false;751;300049;24502
28;61040;58488;false;751;300049;29709
12;61040;58428;false;751;300049;43749
5;61040;58414;false;751;300049;45290
7;61040;58285;false;751;300049;25626
13;61040;58285;false;751;300049;25088
14;61040;58285;false;751;300049;25215
15;61040;58108;false;751;300049;27103
21;61040;58108;false;751;300049;25675
8;61040;58013;false;751;300049;41681
23;61040;58013;false;751;300049;33565
9;61040;57824;false;751;300049;39560
16;61040;57824;false;751;300049;50015
22;61040;57824;false;751;300049;39784
27;61040;57824;false;751;300049;45406
30;61040;57824;false;751;300049;49130
mean;61040;58404,7;#DIV/0!;751;300049;35304,4
sd;0;392,4009341266;#DIV/0!;0;0;11213,2943622814
