Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2690;2650;false;751;300049;29550
2;2690;2650;false;751;300049;17143
3;2690;2650;false;751;300049;16637
4;2690;2650;false;751;300049;17068
5;2690;2650;false;751;300049;17357
6;2690;2650;false;751;300049;18921
7;2690;2650;false;751;300049;19866
8;2690;2650;false;751;300049;20604
9;2690;2650;false;751;300049;17933
10;2690;2650;false;751;300049;16679
11;2690;2650;false;751;300049;18180
12;2690;2650;false;751;300049;18987
13;2690;2650;false;751;300049;16806
14;2690;2650;false;751;300049;17710
15;2690;2650;false;751;300049;18108
16;2690;2650;false;751;300049;16240
17;2690;2650;false;751;300049;19469
18;2690;2650;false;751;300049;16264
19;2690;2650;false;751;300049;15698
20;2690;2650;false;751;300049;25772
21;2690;2650;false;751;300049;18261
22;2690;2650;false;751;300049;17017
23;2690;2650;false;751;300049;17287
24;2690;2650;false;751;300049;16162
25;2690;2650;false;751;300049;18540
26;2690;2650;false;751;300049;18111
27;2690;2650;false;751;300049;24140
28;2690;2650;false;751;300049;17832
29;2690;2650;false;751;300049;19401
30;2690;2650;false;751;300049;17788
mean;2690;2650;#DIV/0!;751;300049;18651,0333333333
sd;0;0;#DIV/0!;0;0;2987,8081515678
