Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
18;9770;9450;false;751;300049;28369
9;9770;9413;false;751;300049;32553
11;9770;9413;false;751;300049;30206
16;9770;9413;false;751;300049;38247
22;9770;9413;false;751;300049;27605
30;9770;9413;false;751;300049;29849
19;9770;9374;false;751;300049;42233
17;9770;9356;false;751;300049;28153
24;9770;9345;false;751;300049;27680
2;9770;9335;false;751;300049;28411
8;9770;9335;false;751;300049;29305
12;9770;9335;false;751;300049;36215
13;9770;9335;false;751;300049;28238
15;9770;9335;false;751;300049;33023
1;9770;9332;false;751;300049;28248
3;9770;9332;false;751;300049;29450
4;9770;9332;false;751;300049;28005
5;9770;9332;false;751;300049;28073
10;9770;9332;false;751;300049;28582
14;9770;9332;false;751;300049;28017
21;9770;9332;false;751;300049;27944
23;9770;9332;false;751;300049;27983
25;9770;9332;false;751;300049;27566
26;9770;9332;false;751;300049;28484
27;9770;9332;false;751;300049;39166
28;9770;9332;false;751;300049;28043
7;9770;9309;false;751;300049;28486
6;9770;9228;false;751;300049;29238
20;9770;9228;false;751;300049;28418
29;9770;9228;false;751;300049;27760
mean;9770;9341,4;#DIV/0!;751;300049;30118,3333333333
sd;0;52,3941297054;#DIV/0!;0;0;3835,6520673295
