Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;17;7582;1219
2;2721;2721;true;32;13567;1767
3;2721;2721;true;17;7582;1310
4;2721;2721;true;45;18754;2292
5;2721;2721;true;13;5986;1101
6;2721;2721;true;247;99352;15883
7;2721;2721;true;17;7582;1211
8;2721;2721;true;15;6784;1134
9;2721;2721;true;43;17956;2086
10;2721;2721;true;88;35911;3346
11;2721;2721;true;30;12769;1637
12;2721;2721;true;20;8779;1397
13;2721;2721;true;86;35113;3180
14;2721;2721;true;17;7582;1266
15;2721;2721;true;0;400;194
16;2721;2721;true;18;7981;1337
17;2721;2721;true;10;4789;1177
18;2721;2721;true;77;31522;2870
19;2721;2721;true;9;4390;861
20;2721;2721;true;189;76210;5735
21;2721;2721;true;124;50275;3992
22;2721;2721;true;31;13168;1718
23;2721;2721;true;0;400;193
24;2721;2721;true;92;37507;3127
25;2721;2721;true;0;799;277
27;2721;2721;true;34;14365;1854
28;2721;2721;true;128;51871;4137
29;2721;2721;true;8;3991;835
30;2721;2721;true;71;29128;3173
26;2721;2694;false;751;300049;28657
mean;2721;2720,1;#DIV/0!;74,3;30404,8;3298,8666666667
sd;0;4,9295030175;#DIV/0!;140,4284453943;55979,3170520487;5569,7135178808
