Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;216;86983;4297
2;2721;2721;true;39;16360;1781
3;2721;2721;true;17;7582;1157
4;2721;2721;true;0;799;281
5;2721;2721;true;30;12769;1531
6;2721;2721;true;32;13567;1453
7;2721;2721;true;34;14365;1969
8;2721;2721;true;29;12370;1438
9;2721;2721;true;3;1996;468
10;2721;2721;true;0;799;297
11;2721;2721;true;128;51871;4344
12;2721;2721;true;27;11572;1454
13;2721;2721;true;4;2395;532
14;2721;2721;true;45;18754;1906
15;2721;2721;true;15;6784;1187
17;2721;2721;true;8;3991;844
18;2721;2721;true;397;159202;9292
19;2721;2721;true;11;5188;910
20;2721;2721;true;22;9577;1292
21;2721;2721;true;1;1198;435
22;2721;2721;true;0;400;222
23;2721;2721;true;67;27532;2808
24;2721;2721;true;11;5188;974
25;2721;2721;true;22;9577;1417
26;2721;2721;true;21;9178;1252
27;2721;2721;true;22;9577;1293
28;2721;2721;true;7;3592;673
29;2721;2721;true;93;37906;3653
30;2721;2721;true;30;12769;1809
16;2721;2694;false;751;300049;16355
mean;2721;2720,1;#DIV/0!;69,4;28463;2244,1333333333
sd;0;4,9295030175;#DIV/0!;151,4505951082;60373,2310205613;3202,4362249251
