Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;2721;2721;true;4;2200;993
5;2721;2721;true;321;128809;27914
8;2721;2721;true;134;54268;11944
11;2721;2721;true;1;817;455
14;2721;2721;true;1;816;396
15;2721;2721;true;493;197690;44842
16;2721;2721;true;249;100093;24150
17;2721;2721;true;0;400;174
18;2721;2721;true;6;3051;1279
21;2721;2721;true;0;400;205
24;2721;2721;true;0;400;181
27;2721;2721;true;1;847;414
30;2721;2721;true;15;6517;2113
10;2721;2711;false;749;300000;59220
25;2721;2711;false;749;300000;62103
4;2721;2694;false;749;300000;68111
6;2721;2694;false;749;300000;70247
12;2721;2694;false;749;300000;67981
13;2721;2694;false;749;300000;71231
19;2721;2694;false;749;300000;60747
20;2721;2694;false;749;300000;72047
22;2721;2694;false;749;300000;63118
26;2721;2694;false;749;300000;74559
28;2721;2694;false;749;300000;69327
29;2721;2694;false;749;300000;68953
1;2721;2673;false;749;300000;63686
2;2721;2673;false;749;300000;60591
23;2721;2673;false;749;300000;61417
7;2721;2630;false;749;300000;60427
9;2721;2630;false;749;300000;60335
mean;2721;2700,4666666667;#DIV/0!;465,2666666667;186543,6;40972
sd;0;25,1310130335;#DIV/0!;345,8698113984;138307,556911898;30269,4084651086
