Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2950;2950;true;5;2515;1247
2;2950;2950;true;1;821;471
3;2950;2950;true;1;1124;597
4;2950;2950;true;2;1246;619
5;2950;2950;true;7;3564;1437
6;2950;2950;true;5;2531;1150
7;2950;2950;true;8;3839;1465
8;2950;2950;true;0;632;384
9;2950;2950;true;6;3110;1331
11;2950;2950;true;0;400;187
12;2950;2950;true;3;1795;860
13;2950;2950;true;13;5749;2194
14;2950;2950;true;2;1496;696
15;2950;2950;true;5;2687;1227
16;2950;2950;true;4;2062;967
17;2950;2950;true;0;731;402
18;2950;2950;true;0;790;457
19;2950;2950;true;1;973;505
20;2950;2950;true;0;400;193
21;2950;2950;true;2;1293;618
22;2950;2950;true;3;1753;793
23;2950;2950;true;2;1480;707
24;2950;2950;true;1;998;535
25;2950;2950;true;2;1572;765
26;2950;2950;true;2;1201;591
27;2950;2950;true;2;1588;787
28;2950;2950;true;7;3412;1467
29;2950;2950;true;1;845;454
30;2950;2950;true;4;2187;1049
10;2950;2928;false;749;300000;71316
mean;2950;2949,2666666667;#DIV/0!;27,9333333333;11759,8;3182,3666666667
sd;0;4,0166320884;#DIV/0!;136,2196333344;54453,0354914626;12876,2044002676
