Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
20;6179;6160;false;749;300000;51499
17;6179;6121;false;749;300000;56727
10;6179;6088;false;749;300000;58906
4;6179;6045;false;749;300000;53328
5;6179;6045;false;749;300000;54958
12;6179;6045;false;749;300000;54448
16;6179;6045;false;749;300000;58653
8;6179;6010;false;749;300000;59069
28;6179;6010;false;749;300000;59257
3;6179;6009;false;749;300000;51033
7;6179;6009;false;749;300000;53184
13;6179;6009;false;749;300000;50884
14;6179;6009;false;749;300000;55006
19;6179;6009;false;749;300000;54019
21;6179;6009;false;749;300000;53656
22;6179;6009;false;749;300000;52157
29;6179;6009;false;749;300000;54893
1;6179;5941;false;749;300000;57578
2;6179;5941;false;749;300000;52659
6;6179;5941;false;749;300000;54064
9;6179;5941;false;749;300000;53397
11;6179;5941;false;749;300000;52767
15;6179;5941;false;749;300000;53183
18;6179;5941;false;749;300000;52326
23;6179;5941;false;749;300000;52808
26;6179;5941;false;749;300000;56920
27;6179;5941;false;749;300000;56194
30;6179;5941;false;749;300000;52609
25;6179;5902;false;749;300000;54459
mean;6179;5996,3448275862;#DIV/0!;749;300000;54504,8620689655
sd;0;61,073887255;#DIV/0!;0;0;2451,5867270598
