Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
9;823976;812898;false;749;300000;191106
25;823976;811380;false;749;300000;181223
29;823976;811380;false;749;300000;186074
14;823976;807301;false;749;300000;417414
7;823976;807104;false;749;300000;431374
15;823976;805569;false;749;300000;430184
30;823976;805304;false;749;300000;434197
21;823976;805106;false;749;300000;416591
24;823976;805106;false;749;300000;412983
22;823976;804098;false;749;300000;459188
11;823976;802383;false;749;300000;442092
2;823976;801656;false;749;300000;422709
28;823976;801656;false;749;300000;413224
8;823976;800715;false;749;300000;554462
4;823976;798966;false;749;300000;401946
1;823976;798558;false;749;300000;521165
6;823976;798296;false;749;300000;447219
19;823976;797945;false;749;300000;446141
13;823976;797317;false;749;300000;441248
26;823976;796841;false;749;300000;423261
16;823976;796186;false;749;300000;441295
5;823976;796126;false;749;300000;491909
20;823976;795983;false;749;300000;458089
27;823976;793315;false;749;300000;195278
10;823976;791382;false;749;300000;265006
18;823976;791259;false;749;300000;185283
17;823976;790583;false;749;300000;448295
3;823976;789288;false;749;300000;362171
23;823976;789288;false;749;300000;526135
12;823976;788410;false;749;300000;266919
mean;823976;799713,3;#DIV/0!;749;300000;390472,7
sd;0;6916,8443878843;#DIV/0!;0;0;109325,815482154
