Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;3279;3280;false;2;1426;897
3;3279;3280;false;217;87276;14008
4;3279;3280;false;4;2053;894
5;3279;3280;false;4;2389;1072
7;3279;3280;false;2;1370;758
8;3279;3280;false;5;2674;1170
12;3279;3280;false;55;22759;4321
13;3279;3280;false;0;400;173
15;3279;3280;false;8;3713;1689
17;3279;3280;false;583;233848;35574
18;3279;3280;false;415;166530;25548
19;3279;3280;false;570;228640;34057
20;3279;3280;false;217;87447;12949
28;3279;3280;false;104;42319;6604
29;3279;3280;false;0;400;156
30;3279;3280;false;79;32098;5815
6;3279;3244;false;749;300000;44712
10;3279;3244;false;749;300000;44564
11;3279;3244;false;749;300000;45642
16;3279;3244;false;749;300000;44710
21;3279;3244;false;749;300000;43660
22;3279;3244;false;749;300000;42931
23;3279;3244;false;749;300000;41220
24;3279;3244;false;749;300000;43973
25;3279;3244;false;749;300000;42591
27;3279;3244;false;749;300000;44060
2;3279;3236;false;749;300000;69691
9;3279;3236;false;749;300000;49546
14;3279;3236;false;749;300000;48363
26;3279;3236;false;749;300000;43615
mean;3279;3262,1333333333;#DIV/0!;425,0333333333;170511,4;26498,7666666667
sd;0;19,5884084889;#DIV/0!;341,690370358;136597,517305555;21365,1242363187
