Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
11;390;391;false;3;1747;804
17;390;391;false;5;2655;933
19;390;391;false;2;1379;884
20;390;391;false;345;138483;21131
21;390;391;false;4;2349;906
27;390;391;false;121;48879;7571
29;390;391;false;6;3011;1019
30;390;391;false;0;638;569
1;390;390;true;3;1687;798
2;390;390;true;1;1152;697
5;390;390;true;12;5347;1400
6;390;390;true;13;5756;1512
7;390;390;true;150;60531;9277
8;390;390;true;728;291915;42009
10;390;390;true;3;1842;820
12;390;390;true;12;5390;1403
13;390;390;true;174;70180;10789
14;390;390;true;6;3030;985
15;390;390;true;1;990;657
16;390;390;true;9;4176;1262
22;390;390;true;111;44813;7130
23;390;390;true;25;10724;2287
24;390;390;true;0;400;162
25;390;390;true;1;865;803
26;390;390;true;20;8455;1999
28;390;390;true;6;3165;1055
3;390;389;false;749;300000;44611
4;390;389;false;749;300000;44312
9;390;389;false;749;300000;42757
18;390;389;false;749;300000;43008
mean;390;390,1333333333;#DIV/0!;158,5666666667;63985,3;9785
sd;0;0,6288102248;#DIV/0!;276,6919964862;110626,008096291;15874,0194505753
