Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
29;16679;16415;false;749;300000;164032
6;16679;16360;false;749;300000;93556
7;16679;16338;false;749;300000;86977
19;16679;16338;false;749;300000;92422
25;16679;16338;false;749;300000;87624
1;16679;16255;false;749;300000;94911
4;16679;16255;false;749;300000;103848
12;16679;16255;false;749;300000;108459
13;16679;16255;false;749;300000;103856
22;16679;16255;false;749;300000;93914
27;16679;16222;false;749;300000;94954
20;16679;16199;false;749;300000;98047
26;16679;16131;false;749;300000;95124
14;16679;16058;false;749;300000;217543
9;16679;16056;false;749;300000;93309
5;16679;16051;false;749;300000;145658
10;16679;16051;false;749;300000;148278
3;16679;15970;false;749;300000;144728
24;16679;15963;false;749;300000;101158
16;16679;15934;false;749;300000;176630
8;16679;15888;false;749;300000;144153
30;16679;15882;false;749;300000;102114
11;16679;15880;false;749;300000;174585
15;16679;15879;false;749;300000;105440
21;16679;15879;false;749;300000;104247
2;16679;15874;false;749;300000;168484
18;16679;15840;false;749;300000;110341
28;16679;15815;false;749;300000;95341
23;16679;15726;false;749;300000;196908
17;16679;15488;false;749;300000;139241
mean;16679;16061,6666666667;#DIV/0!;749;300000;122862,733333333
sd;0;224,6102115364;#DIV/0!;0;0;36446,8235463132
