Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;12215;12006;false;749;300000;66183
5;12215;12006;false;749;300000;57764
8;12215;12006;false;749;300000;65013
9;12215;12006;false;749;300000;58607
13;12215;12006;false;749;300000;57596
17;12215;12006;false;749;300000;58354
18;12215;12006;false;749;300000;58536
22;12215;12006;false;749;300000;58114
26;12215;12006;false;749;300000;58321
27;12215;12006;false;749;300000;63725
28;12215;12006;false;749;300000;65804
29;12215;12006;false;749;300000;56243
30;12215;12006;false;749;300000;56407
2;12215;12002;false;749;300000;70244
15;12215;11912;false;749;300000;59162
25;12215;11912;false;749;300000;59963
23;12215;11871;false;749;300000;74005
24;12215;11871;false;749;300000;67641
11;12215;11822;false;749;300000;69506
16;12215;11822;false;749;300000;72060
19;12215;11822;false;749;300000;83737
14;12215;11778;false;749;300000;59424
4;12215;11740;false;749;300000;69499
6;12215;11740;false;749;300000;70579
7;12215;11740;false;749;300000;62550
10;12215;11740;false;749;300000;61853
12;12215;11740;false;749;300000;72106
21;12215;11740;false;749;300000;77386
1;12215;11729;false;749;300000;68706
20;12215;11667;false;749;300000;60602
mean;12215;11890,8666666667;#DIV/0!;749;300000;64656,3333333333
sd;0;121,2301127191;#DIV/0!;0;0;6968,577905354
