Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2737;2714;false;749;300000;44436
3;2737;2714;false;749;300000;56888
4;2737;2714;false;749;300000;46878
5;2737;2714;false;749;300000;44773
6;2737;2714;false;749;300000;55767
8;2737;2714;false;749;300000;60449
9;2737;2714;false;749;300000;43898
10;2737;2714;false;749;300000;50594
11;2737;2714;false;749;300000;50236
12;2737;2714;false;749;300000;45226
13;2737;2714;false;749;300000;55070
15;2737;2714;false;749;300000;44130
16;2737;2714;false;749;300000;43538
17;2737;2714;false;749;300000;45092
18;2737;2714;false;749;300000;45796
19;2737;2714;false;749;300000;44649
21;2737;2714;false;749;300000;48823
22;2737;2714;false;749;300000;46089
23;2737;2714;false;749;300000;53908
24;2737;2714;false;749;300000;44496
25;2737;2714;false;749;300000;69157
26;2737;2714;false;749;300000;45849
27;2737;2714;false;749;300000;44796
28;2737;2714;false;749;300000;55654
29;2737;2714;false;749;300000;44858
30;2737;2714;false;749;300000;61584
14;2737;2687;false;749;300000;44114
2;2737;2658;false;749;300000;46112
7;2737;2658;false;749;300000;46471
20;2737;2658;false;749;300000;45889
mean;2737;2707,5;#DIV/0!;749;300000;49174
sd;0;17,4884198139;#DIV/0!;0;0;6473,9654585594
