Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;4653;4625;false;749;300000;71598
2;4653;4625;false;749;300000;69934
4;4653;4625;false;749;300000;61748
5;4653;4625;false;749;300000;76389
6;4653;4625;false;749;300000;72871
9;4653;4625;false;749;300000;63199
10;4653;4625;false;749;300000;80394
11;4653;4625;false;749;300000;65697
14;4653;4625;false;749;300000;65337
15;4653;4625;false;749;300000;64049
16;4653;4625;false;749;300000;64919
17;4653;4625;false;749;300000;61359
18;4653;4625;false;749;300000;60815
19;4653;4625;false;749;300000;61245
20;4653;4625;false;749;300000;62940
21;4653;4625;false;749;300000;65346
25;4653;4625;false;749;300000;63378
26;4653;4625;false;749;300000;63307
12;4653;4602;false;749;300000;64525
22;4653;4602;false;749;300000;418455
27;4653;4602;false;749;300000;68144
28;4653;4602;false;749;300000;61750
29;4653;4602;false;749;300000;64053
3;4653;4594;false;749;300000;83470
7;4653;4594;false;749;300000;65356
8;4653;4594;false;749;300000;67789
13;4653;4594;false;749;300000;89117
23;4653;4594;false;749;300000;84659
24;4653;4594;false;749;300000;68344
30;4653;4594;false;749;300000;69261
mean;4653;4613,9333333333;#DIV/0!;749;300000;79981,6
sd;0;14,017066773;#DIV/0!;0;0;64362,0211704451
