Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;21;8967;2492
4;2721;2721;true;1;915;426
5;2721;2721;true;185;74798;15266
7;2721;2721;true;5;2775;1144
9;2721;2721;true;3;1751;702
10;2721;2721;true;8;3777;1454
12;2721;2721;true;0;400;170
14;2721;2721;true;8;3654;1307
15;2721;2721;true;15;6442;2057
17;2721;2721;true;23;9674;2522
21;2721;2721;true;469;188394;37635
23;2721;2721;true;243;97882;20421
24;2721;2721;true;486;194913;47786
27;2721;2721;true;17;7427;2910
29;2721;2721;true;4;2295;1087
30;2721;2721;true;226;90882;23138
6;2721;2694;false;749;300000;60392
11;2721;2694;false;749;300000;63338
13;2721;2694;false;749;300000;62579
19;2721;2694;false;749;300000;61100
20;2721;2694;false;749;300000;61779
2;2721;2623;false;749;300000;76170
3;2721;2623;false;749;300000;73580
8;2721;2623;false;749;300000;75820
16;2721;2623;false;749;300000;71902
18;2721;2623;false;749;300000;74679
22;2721;2623;false;749;300000;69469
25;2721;2623;false;749;300000;73450
26;2721;2623;false;749;300000;72920
28;2721;2623;false;749;300000;66014
mean;2721;2687,1;#DIV/0!;406,6666666667;163164,866666667;37456,9666666667
sd;0;43,788165619;#DIV/0!;347,1485157019;138781,722860716;31926,2051293975
