Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721;2721;true;34;14321;3249
2;2721;2721;true;2;1364;544
3;2721;2721;true;40;16686;4739
8;2721;2721;true;1;849;405
9;2721;2721;true;81;33020;6437
11;2721;2721;true;549;220096;40046
13;2721;2721;true;161;64923;13185
18;2721;2721;true;26;11113;2678
20;2721;2721;true;48;19949;4396
21;2721;2721;true;271;109128;20337
24;2721;2721;true;31;12948;3194
26;2721;2721;true;1;1124;447
28;2721;2721;true;13;5880;1680
29;2721;2721;true;0;400;182
30;2721;2721;true;34;14256;3373
25;2721;2700;false;749;300000;54503
4;2721;2694;false;749;300000;58166
6;2721;2694;false;749;300000;51809
7;2721;2694;false;749;300000;52911
10;2721;2694;false;749;300000;60054
14;2721;2694;false;749;300000;52513
15;2721;2694;false;749;300000;50965
16;2721;2694;false;749;300000;55268
17;2721;2694;false;749;300000;53198
19;2721;2694;false;749;300000;53396
23;2721;2694;false;749;300000;51268
27;2721;2694;false;749;300000;52053
5;2721;2673;false;749;300000;53388
12;2721;2673;false;749;300000;53875
22;2721;2673;false;749;300000;53377
mean;2721;2705,6;#DIV/0!;417,5666666667;167535,233333333;30387,8666666667
sd;0;16,8739750647;#DIV/0!;352,3081217396;140814,048575119;24975,267349
