Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2950;2950;true;0;400;184
2;2950;2950;true;17;7200;1204
3;2950;2950;true;10;4400;833
4;2950;2950;true;2;1200;337
5;2950;2950;true;17;7200;1196
6;2950;2950;true;1;800;264
7;2950;2950;true;10;4400;740
8;2950;2950;true;1;800;313
9;2950;2950;true;6;2800;698
10;2950;2950;true;6;2800;582
11;2950;2950;true;11;4800;857
12;2950;2950;true;4;2000;507
13;2950;2950;true;1;800;285
14;2950;2950;true;0;400;187
15;2950;2950;true;6;2800;628
16;2950;2950;true;4;2000;482
17;2950;2950;true;6;2800;638
18;2950;2950;true;1;800;271
19;2950;2950;true;6;2800;603
20;2950;2950;true;2;1200;333
21;2950;2950;true;2;1200;358
22;2950;2950;true;10;4400;815
23;2950;2950;true;9;4000;734
24;2950;2950;true;2;1200;359
25;2950;2950;true;22;9200;1395
26;2950;2950;true;2;1200;398
27;2950;2950;true;3;1600;443
28;2950;2950;true;8;3600;691
29;2950;2950;true;5;2400;589
30;2950;2950;true;4;2000;546
mean;2950;2950;#¡DIV/0!;5,933333333;2773,333333;582,3333333
sd;0;0;#¡DIV/0!;5,438897792;2175,559117;302,961285
