Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo;
8;12006;12132;false;122;49200;10526;
10;12006;12132;false;68;27600;2639;
20;12006;12132;false;200;80400;6782;
4;12006;12132;false;448;179600;13040;
5;12006;12132;false;128;51600;4581;
7;12006;12132;false;382;153200;10889;
9;12006;12132;false;279;112000;8516;
11;12006;12132;false;89;36000;3149;
12;12006;12132;false;192;77200;6465;
13;12006;12132;false;276;110800;7657;
14;12006;12132;false;548;219600;15161;
15;12006;12132;false;237;95200;6981;
16;12006;12132;false;249;100000;8097;
17;12006;12132;false;230;92400;7037;
21;12006;12132;false;297;119200;8290;
22;12006;12132;false;180;72400;5349;
25;12006;12132;false;287;115200;8451;
27;12006;12132;false;335;134400;9774;
28;12006;12132;false;244;98000;6959;
29;12006;12132;false;321;128800;9023;
30;12006;12132;false;316;126800;9267;
2;12006;12030;false;820;328400;22982;
3;12006;12030;false;174;70000;5930;
18;12006;12030;false;186;74800;5919;
19;12006;12030;false;260;104400;7935;
24;12006;12030;false;113;45600;10132;
23;12006;11960;false;999;400000;34403;
6;12006;11877;false;999;400000;28760;
26;12006;11859;false;999;400000;25132;
1;12006;11730;false;999;400000;27921;
mean;12006;12083,26667;#¡DIV/0!;365,9;146760;11258,23333;#¡DIV/0!
sd;0;104,8831643;#¡DIV/0!;291,4584432;116583,3773;8122,675467;
