Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
3;130744;128770;false;999;400000;92021
12;130744;128749;false;999;400000;84614
27;130744;128536;false;999;400000;74723
17;130744;128518;false;999;400000;75551
20;130744;128483;false;999;400000;81708
14;130744;128377;false;999;400000;85489
9;130744;128353;false;999;400000;79676
30;130744;128311;false;999;400000;79285
4;130744;128303;false;999;400000;78207
18;130744;128303;false;999;400000;76941
23;130744;128295;false;999;400000;83145
10;130744;128146;false;999;400000;83192
26;130744;127956;false;999;400000;81098
5;130744;127856;false;999;400000;77644
7;130744;127678;false;999;400000;83723
19;130744;127659;false;999;400000;77707
13;130744;127634;false;999;400000;83301
2;130744;127581;false;999;400000;76785
29;130744;127573;false;999;400000;90676
21;130744;127542;false;999;400000;82333
25;130744;127401;false;999;400000;88630
15;130744;127335;false;999;400000;86114
22;130744;127309;false;999;400000;83348
1;130744;127304;false;999;400000;85411
24;130744;127253;false;999;400000;79035
6;130744;127236;false;999;400000;82145
28;130744;126968;false;999;400000;86426
8;130744;126902;false;999;400000;78863
16;130744;126812;false;999;400000;80441
11;130744;126712;false;999;400000;80958
mean;130744;127795,1667;#¡DIV/0!;999;400000;81973
sd;0;602,5611478;#¡DIV/0!;0;0;4279,344826
