Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;3279;3280;false;6;2800;704
2;3279;3280;false;48;19600;1281
3;3279;3280;false;59;24000;1563
4;3279;3280;false;8;3600;687
5;3279;3280;false;23;9600;922
6;3279;3280;false;39;16000;1047
7;3279;3280;false;34;14000;1156
9;3279;3280;false;213;85600;2766
10;3279;3280;false;39;16000;1109
11;3279;3280;false;31;12800;938
12;3279;3280;false;55;22400;1375
13;3279;3280;false;261;104800;3188
14;3279;3280;false;123;49600;2063
16;3279;3280;false;20;8400;844
17;3279;3280;false;17;7200;828
18;3279;3280;false;115;46400;1969
19;3279;3280;false;26;10800;985
20;3279;3280;false;26;10800;906
22;3279;3280;false;23;9600;859
23;3279;3280;false;46;18800;1141
24;3279;3280;false;71;28800;1562
25;3279;3280;false;22;9200;953
27;3279;3280;false;22;9200;969
28;3279;3280;false;11;4800;687
29;3279;3280;false;47;19200;1282
30;3279;3280;false;42;17200;1281
8;3279;3279;true;9;4000;656
15;3279;3279;true;185;74400;6719
21;3279;3279;true;19;8000;750
26;3279;3239;false;999;400000;10328
mean;3279;3278,533333;#¡DIV/0!;87,96666667;35586,66667;1717,266667
sd;0;7,472862782;#¡DIV/0!;183,0540684;73221,62736;1999,042632
