Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
12;2737;2737;true;4;2000;734
14;2737;2737;true;24;10000;1015
17;2737;2737;true;25;10400;1875
19;2737;2737;true;2;1200;610
1;2737;2714;false;999;400000;9125
2;2737;2714;false;999;400000;9719
3;2737;2714;false;999;400000;9475
4;2737;2714;false;999;400000;9751
5;2737;2714;false;999;400000;8766
6;2737;2714;false;999;400000;9512
7;2737;2714;false;999;400000;9985
8;2737;2714;false;999;400000;14438
9;2737;2714;false;999;400000;9235
10;2737;2714;false;999;400000;11266
11;2737;2714;false;999;400000;8985
13;2737;2714;false;999;400000;10870
15;2737;2714;false;999;400000;8860
18;2737;2714;false;999;400000;10439
20;2737;2714;false;999;400000;9251
21;2737;2714;false;999;400000;9547
23;2737;2714;false;999;400000;10232
24;2737;2714;false;999;400000;9297
25;2737;2714;false;999;400000;9656
27;2737;2714;false;999;400000;9220
28;2737;2714;false;999;400000;9969
29;2737;2714;false;999;400000;10547
30;2737;2714;false;999;400000;9188
26;2737;2701;false;999;400000;10313
16;2737;2639;false;999;400000;10032
22;2737;2639;false;999;400000;11844
mean;2737;2711,633333;#¡DIV/0!;867,6333333;347453,3333;8791,866667
sd;0;21,4692777;#¡DIV/0!;340,6696735;136267,8694;3277,906983
