Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721.0;2721.0;true;21;8800;1031
2;2721.0;2721.0;true;167;67200;3875
3;2721.0;2721.0;true;2;1200;297
4;2721.0;2721.0;true;26;10800;1094
5;2721.0;2721.0;true;45;18400;1422
6;2721.0;2721.0;true;37;15200;1484
7;2721.0;2721.0;true;5;2400;406
8;2721.0;2721.0;true;74;30000;1922
9;2721.0;2721.0;true;0;400;172
10;2721.0;2721.0;true;10;4400;703
11;2721.0;2721.0;true;195;78400;3219
12;2721.0;2721.0;true;6;2800;625
13;2721.0;2721.0;true;39;16000;1265
14;2721.0;2721.0;true;19;8000;969
15;2721.0;2721.0;true;10;4400;625
16;2721.0;2721.0;true;18;7600;922
17;2721.0;2721.0;true;15;6400;813
18;2721.0;2672.0;false;999;400000;25923
19;2721.0;2721.0;true;14;6000;974
20;2721.0;2721.0;true;58;23600;1735
21;2721.0;2721.0;true;7;3200;515
22;2721.0;2721.0;true;14;6000;844
23;2721.0;2721.0;true;106;42800;2047
24;2721.0;2694.0;false;999;400000;26934
25;2721.0;2721.0;true;26;10800;1300
26;2721.0;2721.0;true;27;11200;1359
27;2721.0;2721.0;true;105;42400;2282
28;2721.0;2721.0;true;19;8000;1141
29;2721.0;2721.0;true;13;5600;844
30;2721.0;2721.0;true;29;12000;1438
