Ejecucion;Optimo;Best;Hit;Generaciones;Evaluaciones;Tiempo
1;2721.0;2721.0;true;5;2400;515
2;2721.0;2721.0;true;8;3600;562
3;2721.0;2721.0;true;8;3600;656
4;2721.0;2721.0;true;6;2800;515
5;2721.0;2721.0;true;2;1200;266
6;2721.0;2721.0;true;0;400;140
7;2721.0;2721.0;true;49;20000;1579
8;2721.0;2721.0;true;35;14400;1281
9;2721.0;2721.0;true;32;13200;1266
10;2721.0;2721.0;true;34;14000;1250
11;2721.0;2721.0;true;11;4800;719
12;2721.0;2721.0;true;365;146400;4969
13;2721.0;2721.0;true;18;7600;1156
14;2721.0;2721.0;true;2;1200;250
15;2721.0;2721.0;true;1;800;187
16;2721.0;2721.0;true;5;2400;438
17;2721.0;2721.0;true;4;2000;391
18;2721.0;2721.0;true;62;25200;1657
19;2721.0;2721.0;true;55;22400;1609
20;2721.0;2721.0;true;256;102800;3734
21;2721.0;2721.0;true;95;38400;2531
22;2721.0;2721.0;true;9;4000;672
23;2721.0;2721.0;true;2;1200;265
24;2721.0;2721.0;true;284;114000;3922
25;2721.0;2721.0;true;181;72800;4594
26;2721.0;2721.0;true;133;53600;2547
27;2721.0;2702.0;false;999;400000;29611
28;2721.0;2721.0;true;35;14400;4813
29;2721.0;2721.0;true;13;5600;875
30;2721.0;2721.0;true;315;126400;4328
